Rank,First_Name,Last_Name,YOB,NOC,TotalPoints,EvsCurr,EvsPrev,PtsCurr,PtsPrev
526,Milan,Tomin,1996,SRB,114.67,0,5,0,115
527,Axel,Rosencrantz,2002,SWE,114.59,2,1,113,1
528,Cristopher Alexander,Cardenas Jimenez,2005,VEN,114.24,2,0,114,0
529,Joran,Driesen,1993,BEL,113.61,2,0,114,0
530,Grigory,Antipov,1999,RUS,113.48,0,5,0,113
531,Zed,Roy,2000,CAN,113.38,2,1,106,7
532,Fiorenzo,Angelini,2004,ITA,113.35,2,2,89,24
533,Lucas,Cambresy,2002,LUX,112.57,3,2,88,25
534,Jett Lee,Curteis,2005,SAM,112.5,1,0,113,0
535,Chi,Zhang,2000,CHN,112.41,1,0,112,0
536,Martin,Štefan,1996,CRO,111.77,3,0,112,0
537,Igor Georgij,Kozlovskij,1992,LTU,111.43,2,0,111,0
538,Ryan,Fisher,1991,AUS,108.65,1,1,49,59
539,Braxton,Legg,2005,USA,108.23,1,0,108,0
540,Monty,Dixon,2003,AUS,108.11,1,3,66,42
541,Bence,Lehmann,1997,HUN,107.88,1,3,51,57
542,Francesco,Gazzina,2002,ITA,106.72,2,0,107,0
543,Lotfi,Benatmane,1998,ALG,106.55,2,0,107,0
544,Hayden,Woodrow,2003,CAN,104.11,1,0,104,0
545,Jake,Baugher,2000,USA,104.1,2,2,74,31
546,Nikotimasi Tu'enadi,Croker,2004,FIJ,104.06,1,0,104,0
546,Hamadel Nestor,Ndiaye,1996,SEN,104.06,1,0,104,0
548,Juan Jose,Giraldo Gomez,1997,COL,103.91,3,0,104,0
549,Benjamín,Adriazola,2003,CHI,103.85,2,1,88,16
550,Jack,Spence,2003,RSA,103.76,1,2,33,70
551,Joaquin,Solis Narvaez,2002,ECU,103.59,2,1,76,27
552,Vlad Adrian,Remzing,2001,ROU,102.59,2,2,84,19
553,Ilya,Prasolov,1994,RUS,102.46,0,4,0,102
554,John,Rasmussen,1991,CAN,102.43,0,5,0,102
555,Martin,Garcia,2001,ECU,102.1,2,0,102,0
