Rank,First_Name,Last_Name,YOB,NOC,TotalPoints,EvsCurr,EvsPrev,PtsCurr,PtsPrev
522,Gabriela,Ribeiro,2000,POR,61.7,0,4,0,62
523,Mara,Krombach,2005,LUX,61.15,1,1,57,4
524,Theresa,Moser,1993,AUT,61.1,2,1,51,10
525,Pia,Totschnig,2000,AUT,60.56,0,3,0,61
526,Sofía,Balmaceda,2001,CHI,60.32,1,0,60,0
527,Amanda,Johansson,2005,SWE,60.3,1,0,60,0
528,Natalia,Hidalgo Martínez,2001,ESP,59.91,1,3,25,35
529,Imene,Maldji,1999,ALG,59.58,1,1,46,13
530,Lydia,Drahovska,1999,SVK,59.41,1,2,43,17
531,Kayla,Ribbink,2002,RSA,59.39,1,0,59,0
532,Rebecca,Spence,1988,NZL,59.25,0,1,0,59
533,Erin,Edminister,1990,USA,59.1,0,1,0,59
534,Gayeon,Park,2003,KOR,58.84,1,0,59,0
535,Valentina,Centeno Bolaños,2004,COL,58.72,1,0,59,0
536,Isabelle,Bannister,2005,NZL,57.88,1,0,58,0
537,Louisa Marie,Middleditch,2000,SGP,57.22,0,1,0,57
538,Long,Hoi,1984,MAC,57.09,1,0,57,0
539,Katja,Hočevar,1999,SLO,57.04,1,1,43,14
540,Alicja,Ulatowska,1996,POL,56.72,0,3,0,57
541,Alevtina,Stetsenko,2001,RUS,56.62,0,3,0,57
542,Martha,Calton-Seal,2003,GBR,56.39,1,0,56,0
543,Sophie,Perry,1993,AUS,55.84,0,2,0,56
544,Rafaela,Capó,2004,CHI,55.8,1,0,56,0
545,Jia-Chi,Kuo,1998,TPE,55.33,0,1,0,55
546,Hasse,Fleerackers,2004,BEL,54.76,1,1,41,13
547,Tegan,Gore,2001,RSA,54.55,0,1,0,55
548,Valentina,Villa Ramirez,2006,COL,54.32,1,0,54,0
549,Lucia,Acosta Suarez,2002,ESP,53.98,1,0,54,0
550,Jenna,Buchanan,2004,USA,53.65,1,0,54,0
551,Paige,Cranage,2003,AUS,53.46,1,1,28,25
552,Delia-Oana,Dudau,2003,ROU,52.27,1,1,38,15
553,Esra Nur,Gokcek,1996,TUR,52.13,0,3,0,52
554,Giada,Stegani,2002,ITA,52.12,2,0,52,0
555,Hanne Grete,Hanvere,2003,EST,51.36,1,1,35,17
556,Pia,Wolf,1995,GER,51.15,1,0,51,0
